,X_train,y_train
174,もし赤ちゃんがあきらめたら今でも歩くことができないと思います,もし赤ちゃんがあきらめたら今でも歩くことができないと思います
175,まあ一応日本語の文章を読めるだけでうれしいことなんですけどね,まあ一応日本語の文章を読めるだけでうれしいことなんですけどね
176,それ以上我慢できないおばさんはとうとう離婚の道を選んだ,それ以上我慢できないおばさんはとうとう離婚の道を選びました
177,旅行している時に迷ったら........北海道はいつもきれいなところだと思います,旅行している時に迷ったら........北海道はいつもきれいなところだと思います
178,皆さんは自分を愛して(もっと自信を持って)好きな人と恋する勇気を持ちますように,皆さんは自分を愛して(もっと自信を持って)好きな人と恋する勇気を持ちますように
179,先生私は牡丹のことがずっと好きです猛威にもめげない花で武則天が厳冬の雪のある日に号令一下花は皆咲き出したが牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです,先生私は牡丹のことがずっと好きです猛威にもめげない花で武則天が厳冬の雪のある日に号令一下花は皆咲き出しましたが牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです
180,先日先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をしました,先日先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をしました
181,クレジットカードをスキャンしましたそしておきゃくさんが払いました,クレジットカードをスキャンしましたそしてお客様が払いました
182,ということは今は日本語の本を楽しめるようになって手元の中訳バージョンはいらなくてもいいほどですが少し気にすることがあります,ということは今は日本語の本を楽しめるようになって手元の中訳バージョンはいらなくてもいいほどですが少し気にすることがあります
183,慌てて私は緊張のせいかもしれませんが歌詞をまるっきり忘れてしまいました,慌てて私は緊張のせいかもしれませんが歌詞をまるっきり忘れてしまいました
184,パープルとイエロマニキュアを買いたいです…最近そのカラーコンボが大好きです,パープルとイエロマニキュアを買いたいです…最近そのカラーコンボが大好きです
185,クイーンズランド州の中で観光するならできるだけアトラクション公園に入るべきです,クイーンズランド州の中で観光するならできるだけアトラクション公園に入るべきです
186,西洋のクリスマスとかバレンタインデーとか中日でもとても人気があってブームになってきましたが自国の伝統的な祝日は昔の人と同じようにちゃんとすごしているんですか,西洋のクリスマスとかバレンタインデーとか中日でも大変人気があってブームになってきましたが自国の伝統的な祝日は昔の人と同じようにきちんとすごしているんですか
187,昨夜0時0分ごろ宮城県北部と中部で震度0強m0の地震がありました,昨夜0時0分ごろ宮城県北部と中部で震度0強m0の地震がありました
188,明日の路線をまだ決めてない....旅行で一番大切なことは食べる物か,明日の路線をまだ決めてません....旅行で一番大切なことは食べる物か
189,私の一番好きなテレビ番組はtorchwoodとdoctor whoです,私の一番好きなテレビ番組はtorchwoodとdoctor whoです
190,ネットで交流するとき火星文字を使うとか自分で自分を撮影することが好きとかメッセンジャーの空間を色鮮やかに飾ったりなどいろいろな特徴を持っています,ネットで交流するとき火星文字を使うとか自分で自分を撮影することが好きとかメッセンジャーの空間を色鮮やかに飾ったりするなどいろいろな特徴を持っています
191,0年にひとりの日本人の教授が0年の内に中日戦争がきっとあると予測しました,0年にひとりの日本人の教授が0年の内に中日戦争がきっとありますと予測されました
192,いつか私たちの東洋的な若者文化はきっと世界中でブームになります,いつか私たちの東洋的な若者文化はきっと世界中でブームになります
193,私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します,私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します
194,それなのにクリスマスの日に学校は歌コンクールを行うことになりました,それなのにクリスマスの日に学校は歌コンクールを行うことになりました
195,皆さんは自分を愛して(もっと自信を持って)好きな人と恋する勇気を持ちますように,皆様はご自分を愛してもっと自信をお持ちになって好きな人と恋する勇気をお持ちになりますように
196,アメリカの金持ちならソフトウェアの会社の会長ビル・ゲイツほど財産が多い人はいない,アメリカの金持ちならソフトウェアの会社の会長ビル・ゲイツほど財産が多い人はいない
197,どのくらい再び愛することが出来ますか(有多少愛可以重來)という歌は,どのくらい再び愛することが出来ますか有多少愛可以重來という歌は
198,アメリカのceoと生産労働者の総年収の格差は大きすぎるそのシステムはおかしくないだろうか,アメリカのceoと生産労働者の総年収の格差は大きすぎますそのシステムはおかしくないでしょうか
199,失敗なんか全然恥ずかしくない貴女よく頑張るわねまだ子供みたいな私にとって先生の励ましの言葉は何よりです,失敗なんか全然恥ずかしくない貴女よく頑張るわねまだ子供みたいな私にとって先生の励ましの言葉は何よりです
200,東日本大震災から約0カ月復興に向かおうとしている震災地の住民達は大震災を思い出させる津波の警報と揺れにみんなすごく不安な一夜を過ごしたようです,東日本大震災から約0カ月復興に向かおうとしている震災地の住民達は大震災を思い出させる津波の警報と揺れにみんなとても不安な一夜を過ごしたそうです
201,叔母はstratfordストラトフォードに住んでいますここから0キロです,叔母はstratfordストラトフォードに住んでいますここから0キロです
202,まず学生の時に一所懸命勉強しなければならなくて名門大学へ行かなければならない一番名門会社でやとわれるとそれでせいこうしたと思われている,まず学生の時に一所懸命勉強しなければならなくて名門大学へ行かなければなりません一番名門会社でやとわれるとそれでせいこうしたと思われています
203,アイルランドの音楽が好きでこの楽器の音が大好きなので習いたいのだ,アイルランドの音楽が好きでこの楽器の音が大好きなので習いたいのです
204,毎日授業が終わった後一人でcdを聞いて歌詞を暗記しました,毎日授業が終わった後一人でcdを聞いて歌詞を暗記しました
205,私はこの二年間勉強していますでも私はたくさんの間違いをします,私はこの二年間勉強していますでも私はたくさんの間違いをします
206,材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです,材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです
207,しばらく前にamazonからa handbook of japanese function wordsという本を買いました,しばらく前にamazonからa handbook of japanese function wordsという本を買いました
208,そしてニンジンとキュウリとほうれん草と日本のマヨネーズもあります,そしてニンジンとキュウリとほうれん草と日本のマヨネーズもあります
209,日本語0のクラスは楽しいですけどクラスメイトはへんです,日本語0のクラスは楽しいですけどクラスメイトはへんです
210,妹は会社から無料のチケットをもらったから映画を見に行く時間を変えられなかったです,妹は会社から無料のチケットを頂いたので映画を見に行く時間を変えられませんでした
211,東日本大震災から約0カ月復興に向かおうとしている震災地の住民達は大震災を思い出させる津波の警報と揺れにみんなすごく不安な一夜を過ごしたようです,東日本大震災から約0カ月復興に向かおうとしている震災地の住民達は大震災を思い出させる津波の警報と揺れにみなさんすごく不安な一夜を過ごしたようです
212,映画の中で小南さんがよく歌っている歌ですが本当に小米さんの気持ちを歌い上げていました,映画の中で小南さんがよく歌っている歌ですが本当に小米さんの気持ちを歌い上げていました
213,palmspringsでは沢山のresortがあります,palmspringsでは沢山のresortがあります
214,このままだったら私は何の為に生きているのかが分からないまま生きるかも知れない,このままでしたら私は何の為に生きているのかが分からないまま生きるかも知れません
215,彼らは青とした森や美しい湖を見つけ不思議な動物たちと出会った,彼らは青とした森や美しい湖を見つけ不思議な動物たちと出会いました
216,今両国の若者文化の中で私はどうしても気にするのはそこには自分の国の伝統的なものはとても少ないのではないでしょうか,今両国の若者文化の中で私はどうしても気にするのはそこには自分の国の伝統的なものはとても少ないのではないでしょうか
217,機動性を求めてる人に対してはやっぱりバイクを持ってないと無理です,機動性を求めてる人に対してはやはりバイクを持ってないと無理です
218,よく一番人気があるアトラクションで人がいる時に遊ぶために長く待ちます,よく一番人気があるアトラクションで人がいる時に遊ぶために長く待ちます
219,私はこの二年間勉強していますでも私はたくさんの間違いをします,私はこの二年間勉強していますでも私はたくさんの間違いをします
220,けれども若い人はせいげんのある社会に反抗するからべつの文化を作る,けれども若い人はせいげんのある社会に反抗するからべつの文化を作ります
221,もし都合がよかったらこのバグを訂正していただき訂正完了のことを電信を通じて知らせていただきたいです,もし都合がよかったらこのバグを訂正していただき訂正完了のことを電信を通じて知らせていただきたいです
222,もう進学試験が迫っているのに放棄するわけにはいきませんでした,もう進学試験が迫っているのに放棄するわけにはいきませんでした
223,小米さんは失うことを恐れるためむしろ始めることをしませんでした,小米さんは失うことを恐れるのでむしろ始めることをしませんでした
224,日本語の先生の中で大島先生のことが一番好きですから一言もいえずに会えなくなっちゃって寂しい感じがしました...ちゃんと戻ってきてくれるかなってちょっと心配になってきました,日本語の先生の中で大島先生のことが一番好きですから一言も申せずにお目にかかれなくなってしまって寂しい感じがしました...ちゃんとお戻りになるかと少し心配になってきました
225,あさってけいたはひまだった,あさってけいたさんは暇でした
226,クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なのでここに外国人がたくさん来て観光します,クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なのでここに外国人がたくさん来て観光します
227,たぶん最初中国政府も日本の官僚たちがこんなことを起こして国会議員たちに圧力をかけて選挙を影響を与えるのが日本側の目的だと思っています,たぶん最初中国政府も日本の官僚たちがこんなことを起こして国会議員たちに圧力をかけて選挙を影響を与えるのが日本側の目的だと思っています
228,私はバドミントンが大好きですから今日は友達と大学の体育館に行きました,私はバドミントンが大好きですので今日は友達と大学の体育館に行きました
229,何と不思議なことに虎たちは兵士たちと民衆たちに加害もせず一目散に虎のキングを伴って開封府の大堂についた,何と不思議なことに虎たちは兵士たちと民衆たちに加害もせず一目散に虎のキングを伴って開封府の大堂につきました
230,外は暑い太陽が照りつけていたが中に入ると涼しい風が心地よかった,外は暑い太陽が照りつけていましたが中に入ると涼しい風が心地よく感じられました
231,失敗なんか全然恥ずかしくない貴女よく頑張るわねまだ子供みたいな私にとって先生の励ましの言葉は何よりです,失敗なんか全然恥ずかしくない貴女よく頑張るわねまだ子供みたいな私にとって先生の励ましの言葉は何よりです
232,でも信用がありましたからついにedisonは沢山必要な物をはつめいしました,でも信用がありましたからついにedisonは沢山必要な物をはつめいしました
233,この頃の私はすぐ社会人になるにもかかわらず学生気質がまだ抜けきりませんね,この頃の私はすぐ社会人になるにもかかわらず学生気質がまだ抜けきりませんね
234,私にとっては結婚式を挙げるより新婚旅行する方がいいのではないでしょうか,私にとっては結婚式を挙げるより新婚旅行する方がいいのではないでしょうか
235,実は今コンピューターゲームをしたいのですがまずエントリーを書くほうがいいです,実は今コンピューターゲームをしたいのですがまずエントリーを書くほうがいいです
236,うれしい限りですが知らない言葉はまだいっぱいありますので辞書を引くのは相変わらず必要なぐらいでした,うれしい限りですが知らない言葉はまだいっぱいありますので辞書を引くのは相変わらず必要なぐらいでした
237,ドラマを見る時字幕を見なければストーリーが分りにくいです,ドラマを見る時字幕を見なければストーリーが分りにくいです
238,お前ら二人は別の主に仕え都合の悪いときに居直ったりしていがみ合うような真似をしたりすることがあるのかいと聞き出した,お前ら二人は別の主に仕え都合の悪いときに居直ったりしていがみ合うような真似をしたりすることがあるのかいと聞き出しました
239,例えばまだヤンキーが人気な反抗の文化でアメリカの`yankee'という単語から作られる,例えばまだヤンキーが人気な反抗の文化でアメリカの`yankee'という単語から作られます
240,明日の路線をまだ決めてない....旅行で一番大切なことは食べる物か,明日の路線をまだ決めていません....旅行で一番大切なことは食べる物ですか
241,好きな食べ物は日本の料理です好きな飲み物はビールです台湾のビールはとてもうまいですよ,好きな食べ物は日本の料理です好きな飲み物はビールです台湾のビールはとてもおいしいですよ
242,いま私はmikkomさんのコメントを借用して自分の考えを書きます,いま私はmikkomさんのコメントを借用して自分の考えを書きます
243,たろうとゆうたは驚きと興奮で言葉を失った,太郎と裕太は驚きと興奮で言葉を失いました
244,また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない見間違って老眼を疑っているかのように目を揉んだあともう一度見ても花がついてない鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった施耐庵よ何で枝を花と見なしたのと不可解げに聞いた,また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない見間違って老眼を疑っているかのように目を揉んだあともう一度見ても花がついてない鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった施耐庵よ何で枝を花と見なしたのと不可解げに聞きました
245,それに対して日本でもインターネット上で流行している言葉を選ぶネット流行語大賞というものがありまして0年の金賞はそんな装備で大丈夫かという0dアクションゲームのセリフでした,それに対して日本でもインターネット上で流行している言葉を選ぶネット流行語大賞というものがありまして0年の金賞はそんな装備で大丈夫かという0dアクションゲームのセリフでした
246,さらにアメリカの最低賃金は先進国の中で最も低い賃金の一つだ,さらにアメリカの最低賃金は先進国の中で最も低い賃金の一つです
247,先日先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をしました,先日先生は日本の奥さんは旦那さんが寝た後に化粧を落とし始めるという話をなさいました
248,ビーチに着いたらたくさんの人がいたみんなが楽しそうだな,ビーチに着きたら多くの方がいました皆さんが楽しそうて見えました
249,ちょうど良かったのは私のクラスメイトの中のひとりの女の子は船長と同じ村の人です彼女はあのおじさん,ちょうど良かったのは私のクラスメイトの中のひとりの女の子は船長と同じ村の人です彼女はあのおじさん
250,それで二人の弟子に向けて今や政府不振政治腐敗天下の混乱は遠からず来る,それで二人の弟子に向けて今や政府不振政治腐敗天下の混乱は遠からず来る
251,また日本のロックバンド及びミュージシャンから始まって過激で派手な化粧や髪型衣装などを特徴としているヴィジュアル系も私はどうしても受け入れられません,また日本のロックバンド及びミュージシャンから始まって過激で派手な化粧や髪型衣装などを特徴としているヴィジュアル系も私はどうしても受け入れられません
252,夜日本語を勉強したかったのに先にオンラインでドラムマシーンを探し始めてしまいました,夜日本語を勉強したかったのに先にオンラインでドラムマシーンを探し始めてしまいました
253,でも同時に宮崎監督の火垂るの墓のお母さんの定めを思い出して逆に悲しくなった,でも同時に宮崎監督の火垂るの墓のお母さんの定めを思い出して逆に悲しくなりました
254,やっぱり弟は怒りましたが家に帰った後カメラを直すことができました,やっぱり弟は怒りましたが家に帰った後カメラを直すことができました
255,実は今コンピューターゲームをしたいのですがまずエントリーを書くほうがいいです,実は今コンピューターゲームをしたいのですがまずエントリーを書くほうがいいです
256,ほかの人はそのソフトウェアを使ってもいいけれども使用料がその会長に集まることになっている,ほかの人はそのソフトウェアを使ってもいいけれども使用料がその会長に集まることになっています
257,最初このアニメは夢を追うことだと思うけれどもストーリーが続くにつれてあたしの考えも変わった,最初このアニメは夢を追うことだと思いますがストーリーが続くにつれてわたしの考えも変わりました
258,日本のロリータファッションとかヴィジュアル系とか外国人の私としてはちょっと理解しがたい文化は中国にもあります,日本のロリータファッションとかヴィジュアル系とか外国人の私としては少し理解しがたい文化は中国にもあります
259,翻訳は難しいというのがわかっていますけど私自身も翻訳日ー中の授業があるので宿題とかもやっています,翻訳は難しいというのがわかっていますけど私自身も翻訳日ー中の授業があるので宿題とかもやっています
260,現場は片側0車線の直線道路でタクシーは左側の縁石に接触して横転したという警視庁が詳しい原因を調べている,現場は片側0車線の直線道路でタクシーは左側の縁石に接触して横転したという形になります警視庁が詳しい原因を調べています
261,それ以上我慢できないおばさんはとうとう離婚の道を選んだ,それ以上我慢できないおばさんはとうとう離婚の道を選びました
262,同窓の誼は深いもので忘れるべからず手足のように情け深く睦まじく協力し合えゆめゆめ忘れることなかれと,同窓の誼は深いもので忘れるべからず手足のように情け深く睦まじく協力し合えゆめゆめ忘れることなかれと
263,それに足の内部に痺れがあるので水俣病を持っている人は歩けなかった,その上足の内部に痺れがあるので水俣病を持っている人は歩けませんでした
264,前にテレビで勉強しましただから聞くのはいいですけど書くのは全然いけません,前にテレビで勉強しましただから聞くのはいいですけど書くのは全然いけません
265,ネットで交流するとき火星文字を使うとか自分で自分を撮影することが好きとかメッセンジャーの空間を色鮮やかに飾ったりなどいろいろな特徴を持っています,ネットで交流するとき火星文字を使うとか自分で自分を撮影することが好きとかメッセンジャーの空間を色鮮やかに飾ったりなどいろいろな特徴を持っています
266,中国政府の前半の抗議は日本側との芝居にすぎないと私の先生が分析しました,中国政府の前半の抗議は日本側との芝居にすぎないと私の先生が分析されました
267,だから私だけはどんなに疲れても絶対思う存分やらせておきたい,ですので私だけはどんなに疲れても絶対思う存分やらせておきたいです
268,昨日村上春樹さんのやがて哀しき外国語という本を拝読してみました,昨日村上春樹さんのやがて哀しき外国語という本を拝読してみました
269,ピアノの発表会などで少女が着るような服をもっとフリフリにしたこのファッションはある人にとってはとても信じられないファッションかもしれませんけどロリータのファンも少なくないです,ピアノの発表会などで少女が着るような服をもっとフリフリにしたこのファッションはある人にとってはとても信じられないファッションかもしれませんけどロリータのファンも少なくないです
270,こんなことをやってみました字幕の上に紙を張って真剣に聞くだけです,こんなことをやってみました字幕の上に紙を張って真剣に聞くだけです
271,もし...ここに私と一緒に住んでも構わない日本人がいたら男女,もし...ここに私と一緒に住んでも構わない日本人がいたら男女
272,三つの有名な公園があって夢公園や水公園や映画公園と呼ばれています,三つの有名な公園があって夢公園や水公園や映画公園と呼ばれています
273,クレジットカードで支払いを済ませると味わったことのない幸福感で満たされた,クレジットカードで支払いを済ませると味わったことのない幸福感で満たされました
274,その時に人がedisonはむだなことをしていると思いました,その時に人がedisonはむだなことをしていると思いました
275,私のうちは四人家族です僕と母と兄と婆ちゃんですちょっと狭いアパートに住んでいます,私のうちは四人家族です僕と母と兄と祖母です少し狭いアパートに住んでいます
276,ちょうどその時期班長さんは病気で学習委員の私がやらなければなりませんでした,ちょうどその時期班長さんは病気で学習委員の私がやらなければなりませんでした
277,両方とも同じく大切なのが誰でもわかっているのにひとつしか選べなかったらどうする,両方とも同じく大切なのが誰でもわかっていますのにひとつしか選べなかったらどうしますか
278,メルボルン空港からクーランガッタ空港まで飛行機で行って車に乗ると東方に約一時間かかります,メルボルン空港からクーランガッタ空港まで飛行機で行って車に乗ると東方に約一時間かかります
279,親友も彼氏に浮気されたばかりで心に余裕がないという以来関係はギクシャクし親友とは疎遠になってしまった,親友も彼氏に浮気されたばかりで心に余裕がないという形になります以来関係はギクシャクし親友とは疎遠になってしまいました
280,タクシーが横転する事故があった,タクシーが横転する事故がありました
281,中日国交回復して以来両国は各分野に渡って特に文化においての交流が盛んに行われています,中日国交回復して以来両国は各分野に渡って特に文化においての交流が盛んに行われています
282,このせいで日本語の授業が行けなくなっちゃって塾に電話しました,このせいで日本語の授業が行けなくなってしまい塾に電話しました
283,突然湖から美しい女性が現れた女性は微笑んでようこそ冒険者たちよ私はこの湖の守護者であるその宝石はこの森の秘密を守る力を持っているのだと言った,突然湖から美しい女性が現れました女性は微笑んでようこそ冒険者たちよ私はこの湖の守護者でございますその宝石はこの森の秘密を守る力を有しておりますと言いました
284,laにいってkoreatownで沢山の韓国料理を食べました,laにいってkoreatownで沢山の韓国料理を食べました
285,このままだったら私は何の為に生きているのかが分からないまま生きるかも知れない,このままだったら私は何の為に生きているのかが分からないまま生きるかも知れません
286,僕はたちばなで食べていた時ホステスとシェフの会話が分かってうれしかった,僕はたちばなでいただいていた時ホステスとシェフの会話が分かってうれしかったです
287,日本語字幕・サブタイトルjapanese subtitles!,日本語字幕・サブタイトルjapanese subtitles!
288,彼女の声が上がったり下がったり僕がなれている話し方とぜんぜん違うものだった,彼女の声が上がったり下がったり僕がなれている話し方とぜんぜん違うものでした
289,だから私はmanga moodsと呼ばれる別の本を借りました,だから私はmanga moodsと呼ばれる別の本を借りました
290,本当に外れた部分はないのですけどやはり中国語らしくないとしたら読みづらくなるし理解することも難しくなるなあと思いました,本当に外れた部分はないのですけどやはり中国語らしくないとしたら読みづらくなるし理解することも難しくなるなあと思いました
291,ストーリーはまだわからないですけどドラマをリスタートしました,ストーリーはまだわからないですけどドラマをリスタートしました
292,その結婚式は二日間続いていて花婿と花嫁はとても疲れていましたが幸福でした,その結婚式は二日間続いていて花婿と花嫁はとても疲れていましたが幸福でした
293,私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します,私はうちの学科のかわいい後輩のヒョンソンアさんについて紹介します
294,昔を思い出すと子供は本当にいいなという感覚が脳に浮かんできます,昔を思い出すと子供は本当にいいなという感覚が脳に浮かんできます
295,それなのにクリスマスの日に学校は歌コンクールを行うことになりました,それなのにクリスマスの日に学校は歌コンクールを行うことになりました
296,メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは有名で色なテーマパークで遊べる所です,メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは有名で色なテーマパークで遊べる所です
297,故意かどうか私たちのようなニュースをみただけの民間人には断言できないと思います,故意かどうか私たちのようなニュースをみただけの民間人には断言できないと思います
298,名前の発音はかたかなでよく書けます弟は写真をたくさん撮りたいと言いましたが洞の半分ぐらいの写真を撮った後でカメラが壊れてしまいました,名前の発音はかたかなでよく書けます弟は写真をたくさん撮りたいと言いましたが洞の半分ぐらいの写真を撮った後でカメラが壊れてしまいました
299,ゆうたは興奮してあれはどこにつながっているんだろうと言った,裕太は興奮してあれはどこにつながっているのでしょうかと言いました
300,できるだけ早く請求にいらっしゃってくださいと表示されていました,できるだけ早く請求にいらっしゃってくださいと表示されていました
301,その先には美しい湖が広がっており湖の中央には輝く宝石が浮かんでいた,その先には美しい湖が広がっており湖の中央には輝く宝石が浮かんでいましたchat
302,日本語字幕・サブタイトルjapanese subtitles!,日本語字幕・サブタイトルjapanese subtitles!
303,まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか,まずはご自分の国の伝統文化を大切になさってみたらよろしいのではないでしょうか
304,日本ではほかの話したり討論したりすることができる人気ウェブがありますか,日本ではほかの話したり討論したりすることができる人気ウェブがありますか
305,中国の土地は広いからたくさんの人が実家から遠い場所で働いて家族と離れています,中国の土地は広いからたくさんの人が実家から遠い場所で働いて家族と離れています
306,日本語を勉強しながら中国語の漢字が無意識に身に付くだろうと思った,日本語を勉強しながら中国語の漢字が無意識に身に付くだろうと思いました
307,これは言葉を勉強している人にとって一番幸いなことに違いないと思います,これは言葉を勉強している人にとって一番幸いなことに違いないと思います
308,私は歩いていますよ赤ちゃんは話せませんでしたが私にそう言っているようでした,私は歩いていますよ赤ちゃんは話せませんでしたが私にそのように言っているようでした
309,さらに漁船と日本の海上保安庁の船の写真を見て海上保安庁の船は漁船よりずっと大きいと思います,さらに漁船と日本の海上保安庁の船の写真を見て海上保安庁の船は漁船よりずっと大きいと思います
310,今の時代はとても寛容な時代なのでいろいろな文化が共存することができます,今の時代はとても寛容な時代なのでいろいろな文化が共存することができます
311,まあ一応日本語の文章を読めるだけでうれしいことなんですけどね,まあ一応日本語の文章を読めるだけでうれしいことなんですけどね
312,私のうちは四人家族です僕と母と兄と婆ちゃんですちょっと狭いアパートに住んでいます,私のうちは四人家族です僕と母と兄と祖母です少し狭いアパートに住んでいます
313,今両国ともはやっている萌え文化とかツッコミ文化には私もすごく興味があります,今両国ともはやっている萌え文化やツッコミ文化には私もとても興味があります
314,ロシアで結婚届けを出した後名所を見物することになっています,ロシアで結婚届けを出した後名所を見物することになっています
315,私たちはますます自国の伝統文化を失っているのではないかと友達が私にそういいました,私たちはますます自国の伝統文化を失っているのではないかと友達が私にそういいました
316,前にテレビで勉強しましただから聞くのはいいですけど書くのは全然いけません,前にテレビで勉強しましただから聞くのはいいですけど書くのは全然いけません
317,漫画とアニメはヤンキーが人気になれてたくさんの日本人はヤンキーになりたいと思う,漫画とアニメはヤンキーが人気になれてたくさんの日本人はヤンキーになりたいと思います
318,森の中に入るとたくさんの木や草花が風に揺れていた,森の中に入ると多くの木や草花が風に揺れていました
319,この賞のおかげでアン・ツーホー・ゴク・ハースアン・ランと同様学生の花モデルというユースファッションモデルクラブに参加した,この賞のおかげでアン・ツーホー・ゴク・ハースアン・ランと同様学生の花モデルというユースファッションモデルクラブに参加しました
320,i work as an assistant teacherは日本語でなんと言うのでしょうか,i work as an assistant teacherは日本語でなんと言うのでしょうか
321,アメリカにとって有利にことが運んだとしてもそれは結果論でありアメリカが何か目的を持って動いたわけでもなくアメリカにとっては漁夫の利であり中国にとっては墓穴を掘ったということなのではないでしょうか,アメリカにとって有利にことが運んだとしてもそれは結果論でありアメリカが何か目的を持って動いたわけでもなくアメリカにとっては漁夫の利であり中国にとっては墓穴を掘ったということなのではないでしょうか
322,国際問題になることが彼自身でも予想できると思いますから漁船は何気なくわざわざ日本の船にぶつかる必要が本当にありますか,国際問題になることが彼自身でも予想できると思いますので漁船は何気なくわざわざ日本の船にぶつかる必要が本当にありますか
323,東京部の最低賃金は0時間で0円だがアメリカは0時間で0ドルだ,東京部の最低賃金は0時間で0円ですがアメリカは0時間で0ドルです
324,racecarは右から左に呼んでも同じracecarなんです,racecarは右から左に呼んでも同じracecarなのです
325,もっとも著しい例は日本語の順番が動詞を一番最後のところに置くことです,もっとも著しい例は日本語の順番が動詞を一番最後のところに置くことです
326,かわりにむしろは大丈夫ですか家でいろんなものを作っています,かわりにむしろは大丈夫ですか家でいろいろなものを作っています
327,pmに助けを求めてサーバー管理とアカウント管理について日本側の担当者と連携して一緒に開発環境を守りました,pmに助けを求めてサーバー管理とアカウント管理について日本側の担当者と連携して一緒に開発環境を守りました
328,日本の一般人と日本語で喋れると思うけど大学の授業の場合は聞き取れないに違いないです,日本の一般人と日本語で喋れると思いますが大学の授業の場合は聞き取れないに違いないです
329,日本ではほかの話したり討論したりすることができる人気ウェブがありますか,日本ではほかの話したり討論したりすることができる人気ウェブがありますか
330,北海道の雄武町では0日の夜0時ごろに北北東の空がうっすらと赤黒く光ってたんだ肉眼でも見えるくらいだよ,北海道雄武町では0日午後0時ごろ北北東の空がうっすらと赤黒く光っているのが肉眼でも確認できました
331,春節は一番大切なお祝い日だから皆はせめて春節の時に実家に帰って家族と一緒に過ごしたいです,春節は一番大切なお祝い日だから皆はせめて春節の時に実家に帰って家族と一緒に過ごしたいです
332,そしてチッソ株式会社は無気力で不注意でとんでもなかった,そしてチッソ株式会社は無気力で不注意でとんでもありませんでした
333,むかし日本語を読めなかったときあ村上春樹さんの本はこういう感じかなやらなんか考え方が深すぎて意味がちょっとわからないやらとにかく感心させてくれませんでした,むかし日本語を読めなかったときあ村上春樹さんの本はこういう感じかなとかなんか考え方が深すぎて意味がちょっとわからないとかとにかく感心させてくれませんでした
334,できるだけ早く請求にいらっしゃってくださいと表示されていました,できるだけ早く請求にいらっしゃってくださいと表示されていました
335,昨日村上春樹さんのやがて哀しき外国語という本を拝読してみました,昨日村上春樹さんのやがて哀しき外国語という本を拝読してみました
336,中日国交回復して以来両国は各分野に渡って特に文化においての交流が盛んに行われています,中日国交回復して以来両国は各分野に渡って特に文化においての交流が盛んに行われています
337,そうするともともと自分が理解できないことも何となく分かると思います,そうするともともと自分が理解できないことも何となく分かると思います
338,"""プリンは不明なものを食べたと言われましたのでできれば二三日入院したほうがいいと思います""と獣医さんがそう言いました","""プリンは不明なものを食べたと言われましたのでできれば二三日入院したほうがいいと思います""と獣医さんがそうおっしゃいました"
339,その時のことがなければ今の私はキャノン杯に参加する勇気まで失ってしまうでしょう,その時のことがなければ今の私はキャノン杯に参加する勇気まで失ってしまうでしょう
340,こんな話は年上から見ると特に意味がない普通の話にすぎないかもしれませんけど若者にとってはユーモラスなツッコミになりました,このような話は年上から見ると特に意味がない普通の話にすぎないかもしれませんけど若者にとってはユーモラスなツッコミになりました
341,日本は世界中で一番安全な国だけど円高と物価の問題は本当に大変ですね,日本は世界中で一番安全な国ですが円高と物価の問題は本当に大変ですね
342,人は色だけどその違いは国の中のことじゃなくて人と人の違い,人は色ですがその違いは国の中のことではなくて人と人の違い
343,初日はロシアの伝統に従って花婿は親友と一緒に花嫁を身受けしなければなりました,初日はロシアの伝統に従って花婿は親友と一緒に花嫁を身受けしなければなりました
344,ロシアで結婚式にお客さんをたくさん招待することになっています,ロシアで結婚式にお客様をたくさんご招待することになっております
345,しかも私は今週の月曜日の朝楽器やへティンホイッスル(tin whistle)を買いに行った,しかも私は今週の月曜日の朝楽器やへティンホイッスル(tin whistle)を買いに行きました
346,映画の中で小南さんがよく歌っている歌ですが本当に小米さんの気持ちを歌い上げていました,映画の中で小南さんがよく歌っている歌ですが本当に小米さんの気持ちを歌い上げていました
